№ вагона;Собственник вагона;аренда;куда в ремонт;рамы;КП;Ст. отправления;Дорога отпр;Грузоотправитель (факт);Ст. назначения;Дорога назн;Грузополучатель (факт);Ст. операции;Дорога операции;Груз;Вес;№ накладной;Дата отправки вагона;Дата операции;Дата прибытия;Дата прибытия ПЛАН;срок доставки ЭТРАН
59896936;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ГЛАЗОВ;ГОР;"ООО ""БАЛТСЕРВИС""";БЕЛОЕ ОЗЕРО;КБШ;"ООО ""БАЛТСЕРВИС""";БЕЛОЕ ОЗЕРО;КБШ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ189350;09.05.2019;17.05.2019;17.05.2019;;15.05.2019
95074886;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ПРАВЫЙ БЕРЕГ;ПРВ;"ООО ""БАЛТСЕРВИС""";ПАЛЛАСОВКА;ПРВ;"ОАО ""Палласовский элеватор""";ПАЛЛАСОВКА;ПРВ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭГ549011;13.01.2019;16.01.2019;15.01.2019;;18.01.2019
95075180;108м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ПОЧЕП;МСК;Грузо-ль - ТГНЛ 2208 - Станция 20170 - Sep 23 2016;ПОЧЕП;МСК;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;67;27213869;16.05.2019;20.05.2019;20.05.2019;23.05.2019;23.05.2019
59090829;108м3;#N/A;#N/A;#N/A;норм;ОБШАРОВКА;КБШ;"Общество с ограниченной ответственностью ""АТБ-Транс""";БОГДАНОВИЧ;СВР;"ОАО ""Богдановичский комбикормовый завод""";КАМЕНСК-УРАЛЬСКИЙ;СВР;ЗЕРНО КУКУРУЗЫ;69;ЭЙ456834;16.05.2019;21.05.2019;;;28.05.2019
59099937;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ГОТНЯ;ЮВС;"ОАО ""БЭЗРК""";ТЕЛЕГИНО;ЮВС;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;58;27215724;15.05.2019;22.05.2019;;25.05.2019;24.05.2019
59898486;108м3;#N/A;#N/A;#N/A;норм;БОЛОГОЕ-МОСКОВСКОЕ;ОКТ;"ООО ""БАЛТСЕРВИС""";ПОЛИТОВО;ЮВС;"ООО ""БАЛТСЕРВИС""";ПОЛИТОВО;ЮВС;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;ЭЙ363567;14.05.2019;20.05.2019;20.05.2019;;20.05.2019
59887034;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ПОДБЕРЕЗЬЕ;ОКТ;"ООО ""БАЛТСЕРВИС""";ТУЛИНОВО;ЮВС;"ООО ""БАЛТСЕРВИС""";ТУЛИНОВО;ЮВС;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ947934;04.05.2019;12.05.2019;12.05.2019;;12.05.2019
59888479;108м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЧЕРНЯХОВСК;КЛГ;;ЧЕРНЯХОВСК;КЛГ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;ЭИ806541;02.05.2019;22.05.2019;02.05.2019;12.06.2019;06.05.2019
59888438;108м3;#N/A;#N/A;#N/A;норм;ИВАНОВО-СОРТИРОВОЧНОЕ;СЕВ;"ООО ""БАЛТСЕРВИС""";ТАЛОВАЯ;ЮВС;"ООО ""БАЛТСЕРВИС""";ТАЛОВАЯ;ЮВС;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ187690;10.05.2019;16.05.2019;16.05.2019;21.05.2019;17.05.2019
59884593;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";НИЖНИЙ ЛОМОВ;КБШ;"Общество с ограниченной ответственностью ""ПензаМолИнвест""";НИЖНИЙ ЛОМОВ;КБШ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;67;27196978;12.05.2019;20.05.2019;19.05.2019;24.05.2019;25.05.2019
95058442;108м3;#N/A;#N/A;#N/A;норм;СМОРГОНЬ;БЕЛ;;НОВОХОПЕРСК;ЮВС;;ПОВОРИНО;ЮВС;ЖМЫХИ;67;;;22.05.2019;;25.05.2019;
59883199;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;МЕЛЕУЗ;КБШ;"Общество с ограниченной ответственностью ""РЕЗЕРВ-ЛТД""";ГЛАЗОВ;ГОР;"хххООО ""Глазовский ККЗ""";ОКТЯБРЬСК;КБШ;ПШЕНИЦА;69;ЭЙ569048;18.05.2019;22.05.2019;;;24.05.2019
59887729;108м3;#N/A;#N/A;#N/A;норм;ТАБУНЫ;ЗСБ;;МУРМАНСКИЕ ВОРОТА;ОКТ;"ОАО ""Волховский комбикормовый завод""";ПУДЛИНГОВЫЙ;ГОР;ЧЕЧЕВИЦА;70;ЭЙ431083;16.05.2019;22.05.2019;;;27.05.2019
59881797;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ПОЧЕП;МСК;Грузо-ль - ТГНЛ 2208 - Станция 20170 - Sep 23 2016;ШИПОВКА;КЛГ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;66;27245325;22.05.2019;22.05.2019;;28.05.2019;29.05.2019
59899294;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ТОЛМАЧЕВО;ОКТ;"ОАО ""Лужский комбикормовый завод""";ТОЛМАЧЕВО;ОКТ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;65;27161544;03.05.2019;21.05.2019;15.05.2019;14.05.2019;11.05.2019
59099572;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;НИЖНИЙ ЛОМОВ;КБШ;"ООО ""БАЛТСЕРВИС""";ЗАОЗЕРНАЯ;КРС;"ООО ""Мильман-Агро""";ЗАОЗЕРНАЯ;КРС;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ988454;06.05.2019;15.05.2019;15.05.2019;;19.05.2019
59941500;СТА 108м3;#N/A;#N/A;#N/A;#N/A;ЛЕЛЕКОВКА;ОДС;;НЕГОРЕЛОЕ;БЕЛ;;КОЙДАНОВО;БЕЛ;ЖМЫХИ;67;;;22.05.2019;;;
59099663;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;;ШИПОВКА;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЖ091113;07.03.2019;22.03.2019;07.03.2019;23.03.2019;09.03.2019
95056552;108м3;#N/A;#N/A;#N/A;норм;НОВОСИБИРСК-ЗАПАДНЫЙ;ЗСБ;"ООО ""БАЛТСЕРВИС""";УЖУР;КРС;"ООО ""Элеватор""";УЖУР;КРС;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ018294;09.05.2019;15.05.2019;15.05.2019;16.05.2019;15.05.2019
95076816;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ЗОЛОТУХИНО;МСК;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ЗЕРНО БОБОВ;70;27215858;15.05.2019;20.05.2019;20.05.2019;24.05.2019;23.05.2019
59885897;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;РЫБИНСК-ТОВАРНЫЙ;СЕВ;"ООО ""БАЛТСЕРВИС""";РАНЕНБУРГ;ЮВС;"ООО ""Раненбургъ""";РАНЕНБУРГ;ЮВС;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ905692;04.05.2019;08.05.2019;08.05.2019;11.05.2019;09.05.2019
59450874;108м3;#N/A;#N/A;#N/A;норм;БЕЛОЕ ОЗЕРО;КБШ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЛУЖСКАЯ;ОКТ;ПШЕНИЦА;69;ЭИ924246;06.05.2019;14.05.2019;;17.05.2019;23.05.2019
59896571;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ЛУГОВОЕ-НОВОЕ;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ444862;15.05.2019;16.05.2019;16.05.2019;22.05.2019;18.05.2019
59884759;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;КАРБЫШЕВО 2;ЗСБ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;67;27184050;08.05.2019;18.05.2019;18.05.2019;22.05.2019;29.05.2019
59450288;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;НЕВДУБСТРОЙ;ОКТ;"ООО ""БАЛТСЕРВИС""";КАРБЫШЕВО 2;ЗСБ;"ООО ""БАЛТСЕРВИС""";КАРБЫШЕВО 2;ЗСБ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ899782;04.05.2019;18.05.2019;12.05.2019;21.05.2019;15.05.2019
59940247;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;БОЛОТНАЯ;ЗСБ;ООО «Болотноехлебопродукт»;СМОРГОНЬ;БЕЛ;"ООО ""Белагротерминал""";СМОРГОНЬ;БЕЛ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;66;27186911;09.05.2019;22.05.2019;20.05.2019;22.05.2019;31.05.2019
59091959;108м3;#N/A;#N/A;#N/A;норм;НИЖНИЙ ЛОМОВ;КБШ;"ООО ""БАЛТСЕРВИС""";ИНГАШСКАЯ;КРС;"ООО ""Нижнеингашское ХПП""";ИНГАШСКАЯ;КРС;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ874659;03.05.2019;16.05.2019;15.05.2019;;16.05.2019
59940353;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";БАЛТИЙСК;КЛГ;;БАЛТИЙСК;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ822166;03.05.2019;03.05.2019;03.05.2019;;06.05.2019
59774299;108м3;#N/A;#N/A;#N/A;норм;КАМЫШИН;ПРВ;;КАМЫШИН;ПРВ;;КАМЫШИН;ПРВ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;;;10.05.2019;;11.05.2019;
59887463;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;АЧИНСК 1;КРС;"Общество с ограниченной ответственностью "" Хозяин""";СМОРГОНЬ;БЕЛ;"ООО ""Белагротерминал""";ДАВЫДОВО;МСК;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;66;27223465;16.05.2019;22.05.2019;;30.05.2019;10.06.2019
95052627;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЧЕРНЯХОВСК;КЛГ;;ЧЕРНЯХОВСК;КЛГ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;ЭИ936994;06.05.2019;07.05.2019;06.05.2019;16.06.2019;10.05.2019
59091108;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";КРУГЛОЕ ПОЛЕ;КБШ;"ОАО ""Набережночелнинский элеватор""";КРУГЛОЕ ПОЛЕ;КБШ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;67;27208942;14.05.2019;22.05.2019;21.05.2019;26.05.2019;29.05.2019
59941393;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ЧУКУРСАЙ;УЗБ;;КЗЫЛ-ТУ;КЗХ;;ТАЛЬЩИК;КЗХ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;;;22.05.2019;;24.05.2019;
95037883;ЛГ;#N/A;#N/A;#N/A;#N/A;БОБРОВИЦЫ;ЮЗП;;ДРАУГИСТЕ-ПОРТ(ЭКСП.);ЛИТ;;ДАРНИЦА;ЮЗП;ЗЕРНО КУКУРУЗЫ;63;;;22.05.2019;;;
59941005;108м3;#N/A;#N/A;#N/A;норм;ВЕРХНЕТАГИЛЬСКАЯ;СВР;"ООО ""БАЛТСЕРВИС""";УКТУС;СВР;дс уктус;ШУРАЛА;СВР;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ455393;21.05.2019;21.05.2019;;29.05.2019;25.05.2019
95082863;108м3;#N/A;#N/A;#N/A;норм;ТЕРЕНСАЙ;ЮУР;;ТЕРЕНСАЙ;ЮУР;;ТЕРЕНСАЙ;ЮУР;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;;;19.05.2019;;;
59895748;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ОЖЕРЕЛЬЕ;МСК;"ООО ""БАЛТСЕРВИС""";ШАДРИНСК;ЮУР;"Акционерное Общество ""Шадринский комбинат хлебопродуктов""";ШАДРИНСК;ЮУР;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;ЭЙ234370;16.05.2019;21.05.2019;21.05.2019;03.06.2019;25.05.2019
59090662;108м3;#N/A;#N/A;#N/A;норм;БРЯНСК-ВОСТОЧНЫЙ;МСК;"ООО ""БАЛТСЕРВИС""";ТАЛОВАЯ;ЮВС;"ООО ""БАЛТСЕРВИС""";ТАЛОВАЯ;ЮВС;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ270962;15.05.2019;20.05.2019;20.05.2019;;21.05.2019
59882605;108м3;#N/A;#N/A;#N/A;норм;РАСШЕВАТКА;СКВ;"ООО ""БАЛТСЕРВИС""";ПЕРЕДОВАЯ;СКВ;"ООО ""БАЛТСЕРВИС""";ПЕРЕДОВАЯ;СКВ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ232120;11.05.2019;12.05.2019;12.05.2019;13.05.2019;14.05.2019
95077632;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;КОСТАНАЙ;КЗХ;;СМОРГОНЬ;БЕЛ;;КОСТАНАЙ;КЗХ;СЕМЕНА ЛЬНА;67;;;22.05.2019;;;
59896084;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ХАВА;ЮВС;"ООО ""Аквилон""";НЕВЕЛЬ 2;ОКТ;"Общество с ограниченной ответственностью ""Великолукский свиноводческий комплекс""";КАЗИНКА;ЮВС;ШРОТ, СОДЕРЖАЩИЙ НЕ БОЛЕЕ 1,5% МАСЛА И НЕ БОЛЕЕ 11% ВЛАГИ;60;ЭЙ593642;20.05.2019;22.05.2019;;29.05.2019;06.06.2019
95079380;108м3;#N/A;#N/A;#N/A;норм;АБРАМОВКА;ЮВС;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ЗЕРНО БОБОВ;69;27182481;13.05.2019;21.05.2019;21.05.2019;;24.05.2019
59896894;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ОЖЕРЕЛЬЕ;МСК;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ОЖЕРЕЛЬЕ;МСК;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;27237273;21.05.2019;21.05.2019;;25.05.2019;30.05.2019
95077236;108м3;#N/A;#N/A;#N/A;норм;ОБОЯНЬ;ЮВС;"АО ""Артель""";БОГДАНОВИЧ;СВР;"ОАО ""Богдановичский комбикормовый завод""";ПАТРИАРШАЯ;ЮВС;ЗЕРНО КУКУРУЗЫ;70;ЭЙ454982;17.05.2019;22.05.2019;;30.05.2019;01.06.2019
59090548;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;НЕВЕЛЬ 2;ОКТ;;НЕВЕЛЬ 2;ОКТ;;НЕВЕЛЬ 2;ОКТ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;61;;;21.05.2019;;28.05.2019;
59091488;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";КРУГЛОЕ ПОЛЕ;КБШ;"ОАО ""Набережночелнинский элеватор""";КРУГЛОЕ ПОЛЕ;КБШ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;68;27208942;14.05.2019;22.05.2019;21.05.2019;26.05.2019;29.05.2019
95079711;108м3;#N/A;#N/A;#N/A;норм;ИВАНОВО-СОРТИРОВОЧНОЕ;СЕВ;"ООО ""БАЛТСЕРВИС""";КЕНЗИНО;КБШ;"ООО ""БАЛТСЕРВИС""";КЕНЗИНО;КБШ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ042571;09.05.2019;14.05.2019;14.05.2019;21.05.2019;14.05.2019
59885772;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";БИШКЕК I;КРГ;"ОсОО ""Корм-Сервис""";ОРША-ЦЕНТРАЛЬНАЯ;БЕЛ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;67;27231443;19.05.2019;22.05.2019;;03.06.2019;15.06.2019
95906814;108м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ДАВЛЕКАНОВО;КБШ;Общество с ограниченной ответственностью «Давлекановский комбинат хлебопродуктов №1»;ДЕМА;КБШ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;67;27199477;12.05.2019;22.05.2019;;24.05.2019;28.05.2019
59882829;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;АЛЛАГУВАТ;КБШ;ООО «Компания Арсал»;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ВЕРТУНОВСКАЯ;ЮВС;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;67;27230361;17.05.2019;22.05.2019;;30.05.2019;03.06.2019
59896076;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;КУРГАН;ЮУР;"ООО ""БАЛТСЕРВИС""";Зааятская;КЗХ;;Зааятская;КЗХ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;27226562;17.05.2019;20.05.2019;20.05.2019;;21.05.2019
59896886;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;РАНЕНБУРГ;ЮВС;"ООО ""Раненбургъ""";СМОРГОНЬ;БЕЛ;"ООО ""Белагротерминал""";СМОРГОНЬ;БЕЛ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;67;27208336;13.05.2019;21.05.2019;20.05.2019;;20.05.2019
59899021;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ВОССТАНИЕ;ГОР;"ООО ""КАЗАНСКАЯ МЕЛЬНИЦА""";ВОССТАНИЕ;ГОР;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;68;27215579;16.05.2019;21.05.2019;20.05.2019;25.05.2019;28.05.2019
95905774;108м3;#N/A;#N/A;БР Китай;норм;РАНЕНБУРГ;ЮВС;"ООО ""Раненбургъ""";СМОРГОНЬ;БЕЛ;"ООО ""Белагротерминал""";ОРША-ЦЕНТРАЛЬНАЯ;БЕЛ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;64;27230460;17.05.2019;22.05.2019;22.05.2019;;24.05.2019
95905766;108м3;#N/A;#N/A;БР Китай;норм;ТАЛОВАЯ;ЮВС;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ЗЕРНО БОБОВ;69;27182585;13.05.2019;21.05.2019;21.05.2019;24.05.2019;24.05.2019
59941211;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ЗОЛОТУХИНО;МСК;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ЗЕРНО БОБОВ;70;27215858;15.05.2019;20.05.2019;20.05.2019;24.05.2019;23.05.2019
95083457;108м3;#N/A;#N/A;#N/A;норм;НЕВДУБСТРОЙ;ОКТ;"ООО ""БАЛТСЕРВИС""";КАРБЫШЕВО 2;ЗСБ;"ООО ""БАЛТСЕРВИС""";КАРБЫШЕВО 2;ЗСБ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ900278;04.05.2019;18.05.2019;12.05.2019;21.05.2019;15.05.2019
59888347;108м3;#N/A;#N/A;#N/A;норм;НИЖНИЙ ЛОМОВ;КБШ;"ООО ""БАЛТСЕРВИС""";НОВОИШИМСКАЯ;КЗХ;;ШИЛЬДА;ЮУР;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;27226020;16.05.2019;22.05.2019;;;28.05.2019
95906954;108м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";СЫЧЕВКА;МСК;Грузо-ль - ТГНЛ 4334 - Станция 17380 - Dec 20 2018;СЫЧЕВКА;МСК;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;61;27215237;16.05.2019;21.05.2019;21.05.2019;;23.05.2019
59091058;СТА 108м3;#N/A;#N/A;#N/A;#N/A;ПОПЕЛЬНЯ;ЮЗП;;СМОРГОНЬ;БЕЛ;;КОРОСТЕНЬ;ЮЗП;ЗЕРНО БОБОВ;70;;;22.05.2019;;;
59450171;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЛАТНАЯ;ЮВС;"Открытое акционерное общество ""Липецкмясопром""";ЛАТНАЯ;ЮВС;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;67;27215891;15.05.2019;21.05.2019;21.05.2019;24.05.2019;25.05.2019
59888222;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ЯНОВ-ПОЛЕССКИЙ;БЕЛ;;ДРАУГИСТЕ-ПОРТ(ЭКСП.);ЛИТ;;ДРАУГИСТЕ;ЛИТ;ЯЧМЕНЬ;0;;;06.05.2019;;08.05.2019;
95053567;108м3;#N/A;#N/A;#N/A;норм;ДЖАЛТЫР;КЗХ;;ШИПОВКА;КЛГ;;ШИПОВКА;КЛГ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;69;;;21.05.2019;;29.05.2019;
59884833;108м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ИЗМАЛКОВО;МСК;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;67;27183055;08.05.2019;16.05.2019;16.05.2019;20.05.2019;17.05.2019
59450387;108м3;#N/A;#N/A;#N/A;норм;РАСШЕВАТКА;СКВ;;РАСШЕВАТКА;СКВ;;РАСШЕВАТКА;СКВ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;62;;;17.05.2019;;21.05.2019;
59793893;108м3;#N/A;#N/A;#N/A;норм;МАКИНКА;КЗХ;;ЧКАЛОВО;КЗХ;;ЧКАЛОВО;КЗХ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;0;;;16.05.2019;;;
59882217;108м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";РЫБИНСК-ТОВАРНЫЙ;СЕВ;"АО ""Ярославский бройлер""";РЫБИНСК-ТОВАРНЫЙ;СЕВ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;68;27215555;16.05.2019;20.05.2019;20.05.2019;25.05.2019;26.05.2019
