№ вагона;Собственник вагона;аренда;куда в ремонт;рамы;КП;Ст. отправления;Дорога отпр;Грузоотправитель (факт);Ст. назначения;Дорога назн;Грузополучатель (факт);Ст. операции;Дорога операции;Груз;Вес;№ накладной;Дата отправки вагона;Дата операции;Дата прибытия;Дата прибытия ПЛАН;срок доставки ЭТРАН
95135158;116м3;#N/A;#N/A;#N/A;ТОНКОМЕР;РАНЕНБУРГ;ЮВС;"ООО ""Раненбургъ""";СМОРГОНЬ;БЕЛ;"ООО ""Белагротерминал""";ОРША-ЦЕНТРАЛЬНАЯ;БЕЛ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;69;27230460;17.05.2019;22.05.2019;22.05.2019;;24.05.2019
95120127;116м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";БУРУНДУКИ;ГОР;Государев Амбар ООО;БУРУНДУКИ;ГОР;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;69;27196067;13.05.2019;20.05.2019;19.05.2019;24.05.2019;26.05.2019
95171401;116м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ГЛАЗОВ;ГОР;"ООО ""БАЛТСЕРВИС""";ЧИШМЫ;КБШ;Грузо-ль - ТГНЛ 6029 - Станция 65150 - Dec 24 2015;БУГУЛЬМА;КБШ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ521895;18.05.2019;22.05.2019;;02.06.2019;24.05.2019
95111324;116м3;#N/A;#N/A;#N/A;ТОНКОМЕР;БУА;ГОР;"ООО ""Буинский сахар""";НЕВЕЛЬ 2;ОКТ;"Общество с ограниченной ответственностью ""Великолукский свиноводческий комплекс""";НЕВЕЛЬ 2;ОКТ;ЖМЫХИ;70;ЭЙ074875;07.05.2019;17.05.2019;15.05.2019;16.05.2019;24.05.2019
95097978;116м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";НИЖНИЙ ЛОМОВ;КБШ;"Общество с ограниченной ответственностью ""ПензаМолИнвест""";НИЖНИЙ ЛОМОВ;КБШ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;70;27196978;12.05.2019;20.05.2019;19.05.2019;24.05.2019;25.05.2019
95045134;116м3;#N/A;#N/A;БР Китай;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";БАЛТИЙСКИЙ ЛЕС;КЛГ;;БАЛТИЙСКИЙ ЛЕС;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ134366;18.04.2019;18.04.2019;18.04.2019;25.04.2019;21.04.2019
95172110;116м3;#N/A;#N/A;#N/A;норм;ОТРОЖКА;ЮВС;"ООО ""БАЛТСЕРВИС""";БАЛАКОВО;ПРВ;"ООО ""Волжский терминал""";КОЧЕТОВКА 1;ЮВС;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ469442;16.05.2019;22.05.2019;;23.05.2019;22.05.2019
95121737;116м3;#N/A;#N/A;БР Китай;ТОНКОМЕР;АХАНГАРАН;УЗБ;;КЗЫЛ-ТУ;КЗХ;;КЗЫЛ-ТУ;КЗХ;ПРОЧИЕ ГРУЗЫ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;27;;;18.05.2019;;18.05.2019;
95876363;СТА 116м3;КВСЗ 2 партия;#N/A;#N/A;#N/A;СЛАВУТА 1;ЮЗП;;СМОРГОНЬ;БЕЛ;;СМОРГОНЬ;БЕЛ;ЗЕРНО БОБОВ;70;;;22.05.2019;;23.05.2019;
95039871;116м3;#N/A;#N/A;#N/A;норм;НИЖНИЙ ЛОМОВ;КБШ;"ООО ""БАЛТСЕРВИС""";БАГАН;ЗСБ;"ООО ""Ассоциация""";БАГАН;ЗСБ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЗ792421;12.04.2019;22.04.2019;22.04.2019;22.04.2019;23.04.2019
